Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Result,HomeWinRate,AwayWinRate,HomeH2HWinRate,AwayH2HWinRate,HomeRecentForm,AwayRecentForm
16/08/24,Man Utd,Fulham,1,0,1,0.50,0.50,0.50,0.50,1.00,0.00
17/08/24,West Ham,Aston Villa,1,2,-1,0.50,0.50,0.50,0.50,0.00,1.00
17/08/24,Nottm Forest,Bournemouth,1,1,0,0.50,0.50,0.50,0.50,0.00,0.00
17/08/24,Newcastle,Southampton,1,0,1,0.50,0.50,0.50,0.50,1.00,0.00
17/08/24,Everton,Brighton,0,3,-1,0.00,1.00,0.50,0.50,0.00,1.00
17/08/24,Arsenal,Wolves,2,0,1,1.00,0.00,0.50,0.50,1.00,0.00
17/08/24,Ipswich,Liverpool,0,2,-1,0.00,1.00,0.50,0.50,0.00,1.00
18/08/24,Chelsea,Man City,0,2,-1,0.00,1.00,0.50,0.50,0.00,1.00
18/08/24,Brentford,Crystal Palace,2,1,1,1.00,0.00,0.50,0.50,1.00,0.00
19/08/24,Leicester,Tottenham,1,1,0,0.50,0.50,0.50,0.50,0.00,0.00
24/08/24,Aston Villa,Arsenal,0,2,-1,0.33,1.00,0.50,0.50,0.00,1.00
24/08/24,Tottenham,Everton,4,0,1,0.50,0.00,0.50,0.50,1.00,0.00
24/08/24,Southampton,Nottm Forest,0,1,-1,0.00,0.50,0.50,0.50,0.00,0.50
24/08/24,Man City,Ipswich,4,1,1,1.00,0.00,0.50,0.50,1.00,0.00
24/08/24,Fulham,Leicester,2,1,1,0.50,0.00,0.50,0.50,1.00,0.00
24/08/24,Crystal Palace,West Ham,0,2,-1,0.00,0.67,0.50,0.50,0.00,1.00
24/08/24,Brighton,Man Utd,2,1,1,1.00,0.50,0.50,0.50,1.00,0.50
25/08/24,Liverpool,Brentford,2,0,1,1.00,0.50,0.50,0.50,1.00,0.50
25/08/24,Wolves,Chelsea,2,6,-1,0.50,0.50,0.50,0.50,0.50,0.50
25/08/24,Bournemouth,Newcastle,1,1,0,0.00,0.75,0.50,0.50,0.00,1.00
31/08/24,West Ham,Man City,1,3,-1,0.67,1.00,0.50,0.50,0.67,1.00
31/08/24,Nottm Forest,Wolves,1,1,0,0.33,0.25,0.50,0.50,0.33,0.25
31/08/24,Leicester,Aston Villa,1,2,-1,0.00,0.33,0.50,0.50,0.00,0.33
31/08/24,Ipswich,Fulham,1,1,0,0.00,0.50,0.50,0.50,0.00,0.67
31/08/24,Everton,Bournemouth,2,3,-1,0.00,0.17,0.50,0.50,0.00,0.33
31/08/24,Brentford,Southampton,3,1,1,0.50,0.00,0.50,0.50,0.50,0.00
31/08/24,Arsenal,Brighton,1,1,0,0.67,0.50,0.50,0.50,0.83,0.67
01/09/24,Man Utd,Liverpool,0,3,-1,0.33,1.00,0.50,0.50,0.33,1.00
01/09/24,Newcastle,Tottenham,2,1,1,0.75,0.33,0.50,0.50,0.83,0.67
01/09/24,Chelsea,Crystal Palace,1,1,0,0.50,0.00,0.50,0.50,0.50,0.00
14/09/24,Bournemouth,Chelsea,0,1,-1,0.20,0.50,0.50,0.50,0.20,0.50
14/09/24,Aston Villa,Everton,3,2,1,0.40,0.00,0.50,0.50,0.40,0.00
14/09/24,Man City,Brentford,2,1,1,1.00,0.33,0.50,0.50,1.00,0.33
14/09/24,Liverpool,Nottm Forest,0,1,-1,0.75,0.33,0.50,0.50,0.75,0.33
14/09/24,Fulham,West Ham,1,1,0,0.25,0.43,0.50,0.50,0.33,0.43
14/09/24,Crystal Palace,Leicester,2,2,0,0.20,0.00,0.50,0.50,0.20,0.00
14/09/24,Brighton,Ipswich,0,0,0,0.33,0.00,0.50,0.50,0.33,0.00
14/09/24,Southampton,Man Utd,0,3,-1,0.00,0.50,0.50,0.50,0.00,0.50
15/09/24,Wolves,Newcastle,1,2,-1,0.20,0.80,0.50,0.50,0.20,0.80
15/09/24,Tottenham,Arsenal,0,1,-1,0.40,0.60,0.33,0.67,0.40,0.60
21/09/24,Crystal Palace,Man Utd,0,0,0,0.20,0.60,0.00,1.00,0.20,0.60
21/09/24,Tottenham,Brentford,3,1,1,0.43,0.33,0.50,0.50,0.43,0.33
21/09/24,Southampton,Ipswich,1,1,0,0.10,0.00,0.50,0.50,0.10,0.00
21/09/24,Liverpool,Bournemouth,3,0,1,0.71,0.20,1.00,0.00,0.71,0.20
21/09/24,Leicester,Everton,1,1,0,0.17,0.00,0.50,0.50,0.17,0.00
21/09/24,Fulham,Newcastle,3,1,1,0.30,0.70,1.00,0.00,0.30,0.70
21/09/24,Aston Villa,Wolves,3,1,1,0.50,0.17,0.50,0.50,0.50,0.17
21/09/24,West Ham,Chelsea,0,3,-1,0.29,0.50,0.00,1.00,0.29,0.50
22/09/24,Man City,Arsenal,2,2,0,0.86,0.60,0.50,0.50,0.86,0.60
22/09/24,Brighton,Nottm Forest,2,2,0,0.33,0.25,0.50,0.50,0.33,0.25
28/09/24,Wolves,Liverpool,1,2,-1,0.14,0.78,0.00,1.00,0.14,0.78
28/09/24,Nottm Forest,Fulham,0,1,-1,0.11,0.43,0.00,1.00,0.11,0.43
28/09/24,Everton,Crystal Palace,2,1,1,0.13,0.17,1.00,0.00,0.13,0.17
28/09/24,Chelsea,Brighton,4,2,1,0.57,0.29,1.00,0.00,0.57,0.29
28/09/24,Brentford,West Ham,1,1,0,0.29,0.33,0.50,0.50,0.29,0.33
28/09/24,Arsenal,Leicester,4,2,1,0.71,0.13,1.00,0.00,0.71,0.13
28/09/24,Newcastle,Man City,1,1,0,0.43,0.75,0.00,1.00,0.43,0.75
29/09/24,Man Utd,Tottenham,0,3,-1,0.50,0.57,0.00,1.00,0.50,0.57
29/09/24,Ipswich,Aston Villa,2,2,0,0.17,0.57,0.50,0.50,0.17,0.57
30/09/24,Bournemouth,Southampton,3,1,1,0.25,0.10,1.00,0.00,0.25,0.10
05/10/24,Everton,Newcastle,0,0,0,0.17,0.43,0.00,0.00,0.17,0.43
05/10/24,West Ham,Ipswich,4,1,1,0.36,0.14,1.00,0.00,0.36,0.14
05/10/24,Man City,Fulham,3,2,1,0.78,0.39,1.00,0.00,0.78,0.39
05/10/24,Leicester,Bournemouth,1,0,1,0.22,0.25,1.00,0.00,0.22,0.25
05/10/24,Brentford,Wolves,5,3,1,0.36,0.14,1.00,0.00,0.36,0.14
05/10/24,Crystal Palace,Liverpool,0,1,-1,0.11,0.88,0.00,1.00,0.11,0.88
05/10/24,Arsenal,Southampton,3,1,1,0.75,0.13,1.00,0.00,0.75,0.13
06/10/24,Brighton,Tottenham,3,2,1,0.33,0.50,1.00,0.00,0.33,0.50
06/10/24,Chelsea,Nottm Forest,1,1,0,0.56,0.14,0.50,0.50,0.56,0.14
06/10/24,Aston Villa,Man Utd,0,0,0,0.50,0.50,0.50,0.50,0.50,0.50
19/10/24,Bournemouth,Arsenal,2,0,1,0.29,0.70,1.00,0.00,0.29,0.70
19/10/24,Ipswich,Everton,0,2,-1,0.14,0.22,0.00,1.00,0.14,0.22
19/10/24,Southampton,Leicester,2,3,-1,0.10,0.29,0.00,1.00,0.10,0.29
19/10/24,Newcastle,Brighton,0,1,-1,0.38,0.44,0.00,1.00,0.38,0.44
19/10/24,Man Utd,Brentford,2,1,1,0.56,0.30,1.00,0.00,0.56,0.30
19/10/24,Fulham,Aston Villa,1,3,-1,0.29,0.55,0.00,1.00,0.29,0.55
19/10/24,Tottenham,West Ham,4,1,1,0.63,0.33,1.00,0.00,0.63,0.33
20/10/24,Liverpool,Chelsea,2,1,1,0.89,0.38,1.00,0.00,0.89,0.38
20/10/24,Wolves,Man City,1,2,-1,0.22,0.85,0.00,1.00,0.22,0.85
21/10/24,Nottm Forest,Crystal Palace,1,0,1,0.29,0.18,1.00,0.00,0.29,0.18
25/10/24,Leicester,Nottm Forest,1,3,-1,0.22,0.38,0.00,1.00,0.22,0.38
26/10/24,Everton,Fulham,1,1,0,0.18,0.29,0.50,0.50,0.18,0.29
26/10/24,Man City,Southampton,1,0,1,0.89,0.11,1.00,0.00,0.89,0.11
26/10/24,Brighton,Wolves,2,2,0,0.45,0.20,0.50,0.50,0.45,0.20
26/10/24,Brentford,Ipswich,4,3,1,0.33,0.20,1.00,0.00,0.33,0.20
26/10/24,Aston Villa,Bournemouth,1,1,0,0.55,0.40,0.50,0.50,0.55,0.40
27/10/24,Arsenal,Liverpool,2,2,0,0.80,0.85,0.50,0.50,0.80,0.85
27/10/24,West Ham,Man Utd,2,1,1,0.60,0.56,0.50,0.50,0.60,0.56
27/10/24,Crystal Palace,Tottenham,1,0,1,0.33,0.60,1.00,0.00,0.33,0.60
27/10/24,Chelsea,Newcastle,2,1,1,0.44,0.30,0.50,0.00,0.44,0.30
02/11/24,Wolves,Crystal Palace,2,2,0,0.22,0.33,0.50,0.50,0.22,0.33
02/11/24,Southampton,Everton,1,0,1,0.20,0.35,1.00,0.00,0.20,0.35
02/11/24,Nottm Forest,West Ham,3,0,1,0.38,0.55,1.00,0.00,0.38,0.55
02/11/24,Liverpool,Brighton,2,1,1,0.89,0.44,1.00,0.00,0.89,0.44
02/11/24,Ipswich,Leicester,1,1,0,0.20,0.30,0.50,0.50,0.20,0.30
02/11/24,Bournemouth,Man City,2,1,1,0.40,0.85,1.00,0.00,0.40,0.85
02/11/24,Newcastle,Arsenal,1,0,1,0.30,0.80,0.50,1.00,0.30,0.80
03/11/24,Man Utd,Chelsea,1,1,0,0.56,0.56,0.50,0.50,0.56,0.56
03/11/24,Tottenham,Aston Villa,4,1,1,0.63,0.55,1.00,0.00,0.63,0.55